Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Yuki Matsui","SDP",0.1451283097267151,-2.6699283123016357,2.815056562423706,0.43000030517578125,0.06328079849481583,0.5933286547660828,0.5324938893318176,0.7131016254425049,0.8289619088172913,42,-0.3690458834171295,0.6136460869652478,6,9,"Yuki Matsui",33826,673513
"Luis García","- - -",0.7561362981796265,-3.9347252249717712,4.690861463546753,4.673999547958374,0.48748350143432617,1.0320693333783457,0.9244078217130719,1.0007241388847088,0.81428373830263,43,0.26037541031837463,0.47226557970553384,10,8,"Luis Garcia",6984,472610
"Jason Adam","SDP",2.111424207687378,-6.4399824142456055,8.551405906677246,12.797999382019043,1.313376545906067,1.750738501548767,1.4724063873291016,1.5493907928466797,1.8928557634353638,61,1.25553560256958,-0.049516425051329804,34,8,"Jason Adam",11861,592094
"Steven Okert","HOU",0.8897222280502319,-3.6813719272613525,4.571094036102295,14.763999938964844,1.494444727897644,0.889735996723175,0.8407485485076904,0.9819164276123047,0.9672566652297974,60,1.3082383871078491,-0.30825386211728323,10,8,"Steven Okert",13580,595345
"Dennis Santana","PIT",2.4863290786743164,-5.0036115646362305,7.489940643310547,19.38300132751465,2.036255359649658,1.4085402488708496,1.5281736850738525,1.4791685342788696,1.904477834701538,36,1.797755479812622,-0.032574058360539615,31,8,"Dennis Santana",17878,642701
"Tyler Ferguson","ATH",0.8239742517471313,-4.416461944580078,5.24043607711792,4.442999839782715,0.4312876760959625,1.2299096584320068,1.2332379817962646,1.3394643068313599,1.5815130472183228,46,0.72715824842453,-0.05721127622365829,19,8,"Tyler Ferguson",19481,621053
"JoJo Romero","STL",2.139172077178955,-5.810075283050537,7.949247360229492,14.21299934387207,1.4660743474960327,1.753045678138733,1.400061011314392,1.6854091882705688,1.5968652963638306,49,1.0362789630889893,0.1839813551990006,25,8,"JoJo Romero",19574,668941
"Andrés Muñoz","SEA",3.8083741664886475,-7.865893363952637,11.674267768859863,15.127999305725098,1.5898175239562988,2.6235105991363525,2.1156728267669678,2.157421827316284,2.694105863571167,17,1.301015019416809,0.15061782999586204,46,8,"Andres Munoz",20373,662253
"Bennett Sousa","HOU",1.284088134765625,-3.086482524871826,4.370570659637451,8.67699909210205,0.8928287029266357,1.0099279880523682,1.011040449142456,1.1958454847335815,1.2472387552261353,31,0.7338588833808899,0.537606161609071,18,8,"Bennett Sousa",21345,656986
"Juan Mejia","COL",0.5976520776748657,-4.202280044555664,4.79993200302124,2.252999782562256,0.24012215435504913,1.0011074542999268,0.8262671232223511,1.0251636505126953,1.3302513360977173,39,0.801697313785553,-0.2047063762914324,17,8,"Juan Mejia",23237,675848
"Casey Legumina","SEA",-0.654672384262085,-3.353093385696411,2.698421001434326,-10.055000305175781,-1.0513648986816406,0.8349407315254211,0.8613919615745544,0.8945191502571106,0.9057266712188721,30,-1.0854345560073853,0.301340117272781,8,8,"Casey Legumina",25921,668984
"Justin Sterner","ATH",0.6386622786521912,-5.458115577697754,6.09677791595459,11.116999626159668,1.0896940231323242,1.2731127738952637,1.041995882987976,1.1458379030227661,1.0033639669418335,50,0.7668612599372864,-0.26520713176597277,17,8,"Justin Sterner",27694,686993
